frame,timestamp,id,Label,pos_x,pos_y,for_x,for_y,deltaTime,frameRateRaw,frameRateSmooth,totalActiveAgents
1233,0,-662,Pedestrian,-20.91802,9.33462,0,1,0,0,0,0
1233,0,-864,PedestrianHead,-20.91802,9.323138,-2.427792E-07,0.9971079,0,0,0,0
1234,0,-662,Pedestrian,-20.91802,9.335014,0.0004639023,0.9999999,0.01403162,71.26763,35.63382,1
1234,0,-864,PedestrianHead,-20.92694,9.353934,0.08724041,0.9888388,0.01403162,71.26763,35.63382,1
1235,0.01999855,-662,Pedestrian,-20.91801,9.335776,0.001389953,0.999999,0.01403162,71.26763,57.01411,1
1235,0.01999855,-864,PedestrianHead,-20.92566,9.354275,0.08885562,0.988741,0.01403162,71.26763,57.01411,1
1236,0.04754829,-662,Pedestrian,-20.91801,9.337647,0.003645406,0.9999934,0.02,50,60.63382,1
1236,0.04754829,-864,PedestrianHead,-20.92365,9.35548,0.09161071,0.9885352,0.02,50,60.63382,1
1237,0.06986618,-662,Pedestrian,-20.91797,9.341733,0.008517065,0.9999637,0.02754834,36.29983,47.40344,1
1237,0.06986618,-864,PedestrianHead,-20.92071,9.358568,0.09661084,0.9880974,0.02754834,36.29983,47.40344,1
1238,0.0885334,-662,Pedestrian,-20.91791,9.346036,0.01361287,0.9999073,0.0223187,44.80548,43.29269,1
1238,0.0885334,-864,PedestrianHead,-20.91782,9.361664,0.0999857,0.987713,0.0223187,44.80548,43.29269,1
1239,0.1025391,-662,Pedestrian,-20.91783,9.350329,0.01867306,0.9998257,0.01866735,53.56948,47.48635,1
1239,0.1025391,-864,PedestrianHead,-20.91558,9.364906,0.1024104,0.987341,0.01866735,53.56948,47.48635,1
1240,0.1149979,-662,Pedestrian,-20.91775,9.353942,0.02291617,0.9997374,0.0140061,71.39749,60.73069,1
1240,0.1149979,-864,PedestrianHead,-20.91381,9.367633,0.1041624,0.9870235,0.0140061,71.39749,60.73069,1
