unix_ms,frame,rel_timestamp,event,overlap_counter
1758752909540,3527,0,Start,0
1758752915435,3693,5.897636,Overlap,1
1758752916690,3728,7.151436,Overlap,2
1758752917892,3762,8.353981,Overlap,3
1758752919137,3795,9.600487,Overlap,4
1758752921155,3851,11.61543,End,4
