frame,timestamp,id,Label,pos_x,pos_y,for_x,for_y,deltaTime,frameRateRaw,frameRateSmooth,totalActiveAgents
276,0.5592413,-394,PedestrianHead,-19.22173,10.92751,0.4720263,0.8708991,0.01902552,52.56098,52.39949,1
277,0.5775003,-192,Pedestrian,-19.20695,10.93769,0.3926162,0.9197024,0.02070375,48.30043,51.19226,1
277,0.5775003,-394,PedestrianHead,-19.21049,10.95014,0.5039104,0.8524038,0.02070375,48.30043,51.19226,1
278,0.5976157,-192,Pedestrian,-19.1978,10.95778,0.4142931,0.9101435,0.01825943,54.76623,52.38544,1
278,0.5976157,-394,PedestrianHead,-19.19957,10.97046,0.5324731,0.8343635,0.01825943,54.76623,52.38544,1
279,0.6159225,-192,Pedestrian,-19.18678,10.98038,0.4383491,0.8988048,0.02011505,49.71401,50.94696,1
279,0.6159225,-394,PedestrianHead,-19.18701,10.99291,0.5613273,0.8148323,0.02011505,49.71401,50.94696,1
280,0.6357408,-192,Pedestrian,-19.17596,11.00129,0.4594181,0.8882201,0.01830677,54.62459,53.17975,1
280,0.6357408,-394,PedestrianHead,-19.17442,11.01343,0.586812,0.7963197,0.01830677,54.62459,53.17975,1
281,0.6535058,-192,Pedestrian,-19.16331,11.02432,0.4813805,0.8765118,0.01981834,50.45832,51.55934,1
281,0.6535058,-394,PedestrianHead,-19.16021,11.03568,0.6120309,0.776817,0.01981834,50.45832,51.55934,1
282,0.6732831,-192,Pedestrian,-19.15121,11.04526,0.500313,0.8658446,0.01776532,56.28946,54.20715,1
282,0.6732831,-394,PedestrianHead,-19.14683,11.05581,0.6341336,0.758568,0.01776532,56.28946,54.20715,1
283,0.6935554,-192,Pedestrian,-19.13679,11.06891,0.5206074,0.8537962,0.01977703,50.5637,52.26035,1
283,0.6935554,-394,PedestrianHead,-19.1312,11.07857,0.6565822,0.738983,0.01977703,50.5637,52.26035,1
284,0.7141156,-192,Pedestrian,-19.121,11.0935,0.5405661,0.8413016,0.02027235,49.32828,51.09114,1
284,0.7141156,-394,PedestrianHead,-19.11384,11.10201,0.6773079,0.7197981,0.02027235,49.32828,51.09114,1
285,0.734488,-192,Pedestrian,-19.10393,11.11874,0.5599595,0.8285199,0.02056037,48.63727,49.22986,1
285,0.734488,-394,PedestrianHead,-19.09405,11.1251,0.6932878,0.7042222,0.02056037,48.63727,49.22986,1
286,0.751411,-192,Pedestrian,-19.08599,11.14405,0.5783548,0.8157853,0.02037224,49.0864,49.00004,1
286,0.751411,-394,PedestrianHead,-19.07296,11.14802,0.7075958,0.6895583,0.02037224,49.0864,49.00004,1
287,0.7720084,-192,Pedestrian,-19.07061,11.16494,0.5930092,0.8051957,0.01692302,59.0911,53.99893,1
287,0.7720084,-394,PedestrianHead,-19.05442,11.16643,0.7182304,0.6780743,0.01692302,59.0911,53.99893,1
288,0.7902784,-192,Pedestrian,-19.05133,11.18994,0.6104559,0.7920502,0.02059729,48.55007,51.81964,1
288,0.7902784,-394,PedestrianHead,-19.03197,11.18849,0.7311822,0.6637971,0.02059729,48.55007,51.81964,1
289,0.8082328,-192,Pedestrian,-19.03381,11.21179,0.6256879,0.7800735,0.01827016,54.73407,53.75027,1
289,0.8082328,-394,PedestrianHead,-19.01133,11.20717,0.7433971,0.6497768,0.01827016,54.73407,53.75027,1
290,0.829586,-192,Pedestrian,-19.01619,11.23293,0.6404277,0.7680185,0.01795422,55.69721,53.97884,1
290,0.829586,-394,PedestrianHead,-18.99083,11.22531,0.7557115,0.6351619,0.01795422,55.69721,53.97884,1
291,0.8506632,-192,Pedestrian,-18.99466,11.25758,0.6576554,0.7533189,0.02135339,46.83098,51.07146,1
291,0.8506632,-394,PedestrianHead,-18.96618,11.24657,0.7703477,0.6171024,0.02135339,46.83098,51.07146,1
292,0.8784947,-192,Pedestrian,-18.97287,11.28144,0.6743295,0.7384306,0.02107719,47.44466,48.91106,1
292,0.8784947,-394,PedestrianHead,-18.94131,11.26724,0.7844467,0.5985087,0.02107719,47.44466,48.91106,1
293,0.9067054,-192,Pedestrian,-18.94319,11.31208,0.6958293,0.7182072,0.02783146,35.93056,41.56487,1
293,0.9067054,-394,PedestrianHead,-18.9084,11.29413,0.8022373,0.5738841,0.02783146,35.93056,41.56487,1
294,0.9357777,-192,Pedestrian,-18.91219,11.34222,0.7170032,0.69707,0.02821058,35.4477,37.99195,1
294,0.9357777,-394,PedestrianHead,-18.87405,11.32045,0.8205188,0.5468266,0.02821058,35.4477,37.99195,1
295,0.9645243,-192,Pedestrian,-18.87929,11.37229,0.738152,0.6746345,0.02907229,34.39701,35.01893,1
295,0.9645243,-394,PedestrianHead,-18.83758,11.34687,0.8381438,0.5187601,0.02907229,34.39701,35.01893,1
296,0.9914026,-192,Pedestrian,-18.84587,11.40101,0.7583744,0.6518192,0.02874688,34.78638,34.80183,1
296,0.9914026,-394,PedestrianHead,-18.801,11.37142,0.8548014,0.4907346,0.02874688,34.78638,34.80183,1
297,1.018371,-192,Pedestrian,-18.81388,11.42696,0.7766449,0.6299387,0.02687823,37.20483,35.91773,1
297,1.018371,-394,PedestrianHead,-18.76744,11.39287,0.8697205,0.4641422,0.02687823,37.20483,35.91773,1
298,1.046207,-192,Pedestrian,-18.78104,11.45207,0.7943425,0.6074703,0.02696834,37.08052,36.65899,1
298,1.046207,-394,PedestrianHead,-18.73448,11.41356,0.8835231,0.4380592,0.02696834,37.08052,36.65899,1
299,1.074153,-192,Pedestrian,-18.7464,11.47698,0.8119277,0.5837581,0.02783599,35.92471,36.52748,1
299,1.074153,-394,PedestrianHead,-18.70124,11.43413,0.8968326,0.4111204,0.02783599,35.92471,36.52748,1
300,1.102856,-192,Pedestrian,-18.71089,11.50094,0.8288709,0.55944,0.02794651,35.78264,36.08484,1
300,1.102856,-394,PedestrianHead,-18.66843,11.45394,0.9097091,0.382787,0.02794651,35.78264,36.08484,1
301,1.132014,-192,Pedestrian,-18.6737,11.52445,0.8452911,0.534306,0.02870245,34.84023,35.33985,1
301,1.132014,-394,PedestrianHead,-18.6344,11.47382,0.922577,0.3511584,0.02870245,34.84023,35.33985,1
302,1.158761,-192,Pedestrian,-18.63521,11.54717,0.8612131,0.508244,0.02915787,34.29606,34.75663,1
302,1.158761,-394,PedestrianHead,-18.59931,11.49344,0.9342613,0.3188013,0.02915787,34.29606,34.75663,1
303,1.185572,-192,Pedestrian,-18.59933,11.56701,0.8751279,0.4838917,0.02674672,37.38776,35.95074,1
303,1.185572,-394,PedestrianHead,-18.56625,11.51112,0.9427912,0.2920099,0.02674672,37.38776,35.95074,1
304,1.213288,-192,Pedestrian,-18.56282,11.58587,0.8884002,0.4590698,0.02681125,37.29777,36.72443,1
304,1.213288,-394,PedestrianHead,-18.53257,11.52837,0.9496267,0.2679301,0.02681125,37.29777,36.72443,1
305,1.241035,-192,Pedestrian,-18.52452,11.60427,0.9013951,0.4329976,0.02771667,36.07937,36.70657,1
305,1.241035,-394,PedestrianHead,-18.49673,11.54566,0.9556393,0.2439417,0.02771667,36.07937,36.70657,1
306,1.269696,-192,Pedestrian,-18.48567,11.62156,0.9136505,0.4065005,0.02774714,36.03975,36.30324,1
306,1.269696,-394,PedestrianHead,-18.45875,11.56252,0.9605525,0.2209651,0.02774714,36.03975,36.30324,1
307,1.297585,-192,Pedestrian,-18.44501,11.6382,0.925504,0.3787379,0.02866079,34.89088,35.47324,1
307,1.297585,-394,PedestrianHead,-18.41848,11.57936,0.9646664,0.1987938,0.02866079,34.89088,35.47324,1
308,1.325533,-192,Pedestrian,-18.40498,11.65322,0.9362383,0.3513659,0.02788927,35.85608,35.60326,1
308,1.325533,-394,PedestrianHead,-18.37856,11.59482,0.9680986,0.176813,0.02788927,35.85608,35.60326,1
309,1.358275,-192,Pedestrian,-18.36445,11.66708,0.9461913,0.323608,0.02794709,35.78191,35.62595,1
309,1.358275,-394,PedestrianHead,-18.33781,11.6097,0.9711415,0.153676,0.02794709,35.78191,35.62595,1
310,1.380573,-192,Pedestrian,-18.31643,11.68167,0.9568149,0.2906976,0.03274271,30.54115,33.17636,1
310,1.380573,-394,PedestrianHead,-18.29002,11.62673,0.974807,0.1219906,0.03274271,30.54115,33.17636,1
311,1.408141,-192,Pedestrian,-18.2835,11.69083,0.9633981,0.2680749,0.02229724,44.84859,38.74302,1
311,1.408141,-394,PedestrianHead,-18.25657,11.63829,0.9770052,0.09477854,0.02229724,44.84859,38.74302,1
312,1.436698,-192,Pedestrian,-18.24248,11.70097,0.9708028,0.2398794,0.02756782,36.27419,37.6999,1
312,1.436698,-394,PedestrianHead,-18.21473,11.65163,0.9789039,0.05898201,0.02756782,36.27419,37.6999,1
313,1.465197,-192,Pedestrian,-18.19969,11.71018,0.9776071,0.2104388,0.02855719,35.01745,37.3607,1
313,1.465197,-394,PedestrianHead,-18.1711,11.66378,0.9797948,0.01980537,0.02855719,35.01745,37.3607,1
314,1.493585,-192,Pedestrian,-18.15672,11.71808,0.9835107,0.1808504,0.02849907,35.08887,35.3045,1
314,1.493585,-394,PedestrianHead,-18.12798,11.67468,0.9797452,-0.01935041,0.02849907,35.08887,35.3045,1
315,1.525916,-192,Pedestrian,-18.11371,11.72466,0.9885032,0.1511998,0.02838797,35.22619,35.14325,1
315,1.525916,-394,PedestrianHead,-18.08425,11.68452,0.9783366,-0.05949295,0.02838797,35.22619,35.14325,1
316,1.54765,-192,Pedestrian,-18.0645,11.73047,0.9931024,0.1172498,0.03233084,30.93022,33.05074,1
316,1.54765,-394,PedestrianHead,-18.03487,11.69396,0.9751264,-0.1032238,0.03233084,30.93022,33.05074,1
317,1.575306,-192,Pedestrian,-18.03133,11.73361,0.9955398,0.09434313,0.02173406,46.01072,39.32967,1
