frame,timestamp,id,Label,pos_x,pos_y,for_x,for_y,deltaTime,frameRateRaw,frameRateSmooth,totalActiveAgents
290,0.5509038,-394,PedestrianHead,22.04918,11.62234,-0.4849993,0.8620865,0.02012891,49.67979,51.10385,1
291,0.5781145,-192,Pedestrian,22.05617,11.63235,-0.3812816,0.9244589,0.01698932,58.86049,55.59561,1
291,0.5781145,-394,PedestrianHead,22.03913,11.6392,-0.5143988,0.844573,0.01698932,58.86049,55.59561,1
292,0.6056614,-192,Pedestrian,22.04255,11.66232,-0.413658,0.9104323,0.02721089,36.75,45.9691,1
292,0.6056614,-394,PedestrianHead,22.02384,11.66676,-0.5554657,0.8181191,0.02721089,36.75,45.9691,1
293,0.6343865,-192,Pedestrian,22.02699,11.6935,-0.4465254,0.894771,0.02754703,36.30155,40.94787,1
293,0.6343865,-394,PedestrianHead,22.00658,11.69571,-0.5977784,0.7875326,0.02754703,36.30155,40.94787,1
294,0.6649232,-192,Pedestrian,22.0088,11.72685,-0.478963,0.8778351,0.02872474,34.81319,35.64706,1
294,0.6649232,-394,PedestrianHead,21.98742,11.72659,-0.6328276,0.7594185,0.02872474,34.81319,35.64706,1
295,0.6928129,-192,Pedestrian,21.9872,11.76315,-0.5114712,0.8593005,0.03053683,32.74734,34.07794,1
295,0.6928129,-394,PedestrianHead,21.96544,11.76005,-0.6622103,0.7337511,0.03053683,32.74734,34.07794,1
296,0.7208805,-192,Pedestrian,21.96555,11.79694,-0.5393639,0.8420728,0.02788964,35.85561,34.71465,1
296,0.7208805,-394,PedestrianHead,21.94329,11.79102,-0.6856756,0.7117522,0.02788964,35.85561,34.71465,1
297,0.7472749,-192,Pedestrian,21.94209,11.83113,-0.5658298,0.8245221,0.0280675,35.62839,35.12035,1
297,0.7472749,-394,PedestrianHead,21.91807,11.82078,-0.7013214,0.6964949,0.0280675,35.62839,35.12035,1
298,0.7754011,-192,Pedestrian,21.9191,11.86263,-0.5895691,0.8077179,0.02639459,37.88656,36.80292,1
298,0.7754011,-394,PedestrianHead,21.89243,11.84753,-0.713234,0.6843783,0.02639459,37.88656,36.80292,1
299,0.8025379,-192,Pedestrian,21.89357,11.89541,-0.6143167,0.7890596,0.02812636,35.55384,36.26857,1
299,0.8025379,-394,PedestrianHead,21.86414,11.87597,-0.7257908,0.6710236,0.02812636,35.55384,36.26857,1
300,0.8314095,-192,Pedestrian,21.86801,11.9263,-0.6376343,0.7703393,0.02713646,36.85079,36.66886,1
300,0.8314095,-394,PedestrianHead,21.83581,11.90354,-0.7391111,0.6560595,0.02713646,36.85079,36.66886,1
301,0.8612099,-192,Pedestrian,21.83978,11.95827,-0.6618164,0.749666,0.02887156,34.63615,35.48408,1
301,0.8612099,-394,PedestrianHead,21.80539,11.93332,-0.7550455,0.6373051,0.02887156,34.63615,35.48408,1
302,0.8887072,-192,Pedestrian,21.80958,11.9903,-0.6860738,0.727532,0.02980073,33.55622,34.53912,1
302,0.8887072,-394,PedestrianHead,21.7733,11.96477,-0.773553,0.6139499,0.02980073,33.55622,34.53912,1
303,0.9160833,-192,Pedestrian,21.78082,12.019,-0.7078004,0.7064124,0.02749714,36.36742,35.17781,1
303,0.9160833,-394,PedestrianHead,21.74343,11.99342,-0.7913077,0.5900836,0.02749714,36.36742,35.17781,1
304,0.9429951,-192,Pedestrian,21.75135,12.04669,-0.7287858,0.6847417,0.02737594,36.52843,35.88568,1
304,0.9429951,-394,PedestrianHead,21.71381,12.02104,-0.8093936,0.5644593,0.02737594,36.52843,35.88568,1
305,0.9703341,-192,Pedestrian,21.72158,12.07305,-0.7487693,0.6628308,0.02691188,37.15831,36.81117,1
305,0.9703341,-394,PedestrianHead,21.68476,12.04753,-0.827267,0.5377818,0.02691188,37.15831,36.81117,1
306,0.9991298,-192,Pedestrian,21.69054,12.09889,-0.7683955,0.6399753,0.02733912,36.57763,36.74199,1
306,0.9991298,-394,PedestrianHead,21.65474,12.07417,-0.8449426,0.5098689,0.02733912,36.57763,36.74199,1
307,1.026721,-192,Pedestrian,21.65701,12.12507,-0.7883131,0.6152743,0.02879578,34.72731,35.7686,1
307,1.026721,-394,PedestrianHead,21.62303,12.10126,-0.8618214,0.4815754,0.02879578,34.72731,35.7686,1
308,1.054927,-192,Pedestrian,21.62413,12.14916,-0.8066531,0.5910252,0.02759115,36.24351,35.85547,1
308,1.054927,-394,PedestrianHead,21.5923,12.12586,-0.876295,0.4553977,0.02759115,36.24351,35.85547,1
309,1.082704,-192,Pedestrian,21.58977,12.17273,-0.8246307,0.5656716,0.02820563,35.45392,35.54547,1
309,1.082704,-394,PedestrianHead,21.56035,12.14987,-0.8892053,0.4298658,0.02820563,35.45392,35.54547,1
310,1.108756,-192,Pedestrian,21.55523,12.1949,-0.8415567,0.5401689,0.02777724,36.00069,35.88523,1
310,1.108756,-394,PedestrianHead,21.52823,12.1727,-0.9002906,0.4053962,0.02777724,36.00069,35.88523,1
311,1.137526,-192,Pedestrian,21.52227,12.21476,-0.856506,0.516137,0.02605183,38.38503,37.0835,1
311,1.137526,-394,PedestrianHead,21.4963,12.19301,-0.9095021,0.3823413,0.02605183,38.38503,37.0835,1
312,1.165502,-192,Pedestrian,21.4852,12.23555,-0.8722405,0.4890771,0.02876985,34.75861,36.09495,1
312,1.165502,-394,PedestrianHead,21.45987,12.21406,-0.9194211,0.355546,0.02876985,34.75861,36.09495,1
313,1.194757,-192,Pedestrian,21.44855,12.25465,-0.8867401,0.4622682,0.02797657,35.7442,35.97669,1
313,1.194757,-394,PedestrianHead,21.42369,12.23292,-0.9305176,0.3229651,0.02797657,35.7442,35.97669,1
314,1.222889,-192,Pedestrian,21.4096,12.2734,-0.9010397,0.4337366,0.02925516,34.18201,34.76599,1
314,1.222889,-394,PedestrianHead,21.38495,12.25159,-0.9426756,0.2827743,0.02925516,34.18201,34.76599,1
315,1.248618,-192,Pedestrian,21.37162,12.29027,-0.9139394,0.4058505,0.02813219,35.54647,35.17668,1
315,1.248618,-394,PedestrianHead,21.34592,12.26877,-0.9534721,0.2405735,0.02813219,35.54647,35.17668,1
316,1.276655,-192,Pedestrian,21.33646,12.30471,-0.9249925,0.3799855,0.02572865,38.86718,36.93393,1
316,1.276655,-394,PedestrianHead,21.30918,12.28262,-0.9612448,0.204092,0.02572865,38.86718,36.93393,1
