frame,timestamp,id,Label,pos_x,pos_y,for_x,for_y,deltaTime,frameRateRaw,frameRateSmooth,totalActiveAgents
1242,0,-668,Pedestrian,18.69617,11.61268,0,1,0,0,0,0
1242,0,-870,PedestrianHead,18.69617,11.6012,-2.427792E-07,0.9971079,0,0,0,0
1243,0,-668,Pedestrian,18.69617,11.61307,-0.0004611512,0.9999999,0.01398995,71.47989,35.73994,1
1243,0,-870,PedestrianHead,18.68722,11.63199,0.0863232,0.988919,0.01398995,71.47989,35.73994,1
1244,0.02000046,-668,Pedestrian,18.69617,11.61383,-0.001381715,0.999999,0.01398995,71.47989,57.18391,1
1244,0.02000046,-870,PedestrianHead,18.68847,11.63231,0.08611049,0.9889836,0.01398995,71.47989,57.18391,1
1245,0.0729332,-668,Pedestrian,18.69617,11.61569,-0.0036333,0.9999934,0.02,50,60.73995,1
1245,0.0729332,-870,PedestrianHead,18.6903,11.63349,0.08434966,0.9891829,0.02,50,60.73995,1
1246,0.1158295,-668,Pedestrian,18.696,11.6262,-0.01610869,0.9998702,0.05293292,18.89183,38.7419,1
1246,0.1158295,-870,PedestrianHead,18.69491,11.64228,0.07328863,0.9901854,0.05293292,18.89183,38.7419,1
1247,0.1496754,-668,Pedestrian,18.69563,11.63838,-0.03042796,0.999537,0.04289672,23.31181,27.32345,1
1247,0.1496754,-870,PedestrianHead,18.69866,11.65275,0.05596863,0.9912167,0.04289672,23.31181,27.32345,1
1248,0.1736813,-668,Pedestrian,18.6951,11.65027,-0.04430569,0.999018,0.03384526,29.54623,25.54502,1
1248,0.1736813,-870,PedestrianHead,18.70302,11.6641,0.02710831,0.9918237,0.03384526,29.54623,25.54502,1
1249,0.1937008,-668,Pedestrian,18.69456,11.65985,-0.05542871,0.9984627,0.02400631,41.65572,34.35409,1
1249,0.1937008,-870,PedestrianHead,18.70545,11.67372,0.001864226,0.9915769,0.02400631,41.65572,34.35409,1
1250,0.2093906,-668,Pedestrian,18.69399,11.66864,-0.06558521,0.997847,0.02002047,49.94887,43.3804,1
1250,0.2093906,-870,PedestrianHead,18.70659,11.68268,-0.01826158,0.9909281,0.02002047,49.94887,43.3804,1
