frame,timestamp,id,Label,pos_x,pos_y,for_x,for_y,deltaTime,frameRateRaw,frameRateSmooth,totalActiveAgents
263,0,-192,Pedestrian,20.89723,12.63102,0,1,0,0,0,0
263,0,-394,PedestrianHead,20.89723,12.61954,-2.427792E-07,0.9971079,0,0,0,0
264,0,-192,Pedestrian,20.89723,12.63141,-0.0004635889,0.9999999,0.01402688,71.29171,35.64585,1
264,0,-394,PedestrianHead,20.88828,12.65033,0.08632282,0.9889193,0.01402688,71.29171,35.64585,1
265,0.01999998,-192,Pedestrian,20.89723,12.63218,-0.001389014,0.999999,0.01402688,71.29171,57.03337,1
265,0.01999998,-394,PedestrianHead,20.88953,12.65066,0.08610684,0.9889842,0.01402688,71.29171,57.03337,1
266,0.07048655,-192,Pedestrian,20.89722,12.63406,-0.003643994,0.9999934,0.02,50,60.64585,1
266,0.07048655,-394,PedestrianHead,20.89136,12.65185,0.08434045,0.9891838,0.02,50,60.64585,1
267,0.115804,-192,Pedestrian,20.89707,12.64387,-0.01526354,0.9998835,0.05048646,19.80729,39.16199,1
267,0.115804,-394,PedestrianHead,20.89578,12.66002,0.07399093,0.990126,0.05048646,19.80729,39.16199,1
268,0.153841,-192,Pedestrian,20.89668,12.65678,-0.03039439,0.999538,0.04531745,22.06655,26.97546,1
268,0.153841,-394,PedestrianHead,20.89971,12.67116,0.05617882,0.9912108,0.04531745,22.06655,26.97546,1
269,0.1773107,-192,Pedestrian,20.89604,12.67049,-0.04635238,0.9989251,0.03803693,26.29024,23.72654,1
269,0.1773107,-394,PedestrianHead,20.90424,12.68427,0.02561845,0.9918719,0.03803693,26.29024,23.72654,1
270,0.2011476,-192,Pedestrian,20.89549,12.68005,-0.05741902,0.9983501,0.02346985,42.60786,33.60431,1
270,0.2011476,-394,PedestrianHead,20.90683,12.69403,-0.002127835,0.9914868,0.02346985,42.60786,33.60431,1
271,0.2239861,-192,Pedestrian,20.89473,12.69088,-0.0699046,0.9975537,0.02383688,41.95181,39.01631,1
271,0.2239861,-394,PedestrianHead,20.90818,12.70528,-0.0258168,0.9905947,0.02383688,41.95181,39.01631,1
272,0.2412856,-192,Pedestrian,20.89378,12.70229,-0.0829964,0.9965498,0.02283854,43.78563,42.99993,1
272,0.2412856,-394,PedestrianHead,20.90833,12.71698,-0.04729268,0.989321,0.02283854,43.78563,42.99993,1
273,0.2630558,-192,Pedestrian,20.89291,12.71151,-0.09355124,0.9956145,0.01729938,57.80555,50.42883,1
273,0.2630558,-394,PedestrianHead,20.90802,12.72663,-0.06653561,0.9877358,0.01729938,57.80555,50.42883,1
274,0.3077128,-192,Pedestrian,20.89155,12.72405,-0.1078365,0.9941686,0.02177026,45.93422,49.0659,1
274,0.3077128,-394,PedestrianHead,20.90736,12.73995,-0.08866404,0.9855222,0.02177026,45.93422,49.0659,1
275,0.3301308,-192,Pedestrian,20.88733,12.75361,-0.1412968,0.9899673,0.04465704,22.39289,36.53782,1
275,0.3301308,-394,PedestrianHead,20.90436,12.77176,-0.1322864,0.9798284,0.04465704,22.39289,36.53782,1
276,0.3598311,-192,Pedestrian,20.88479,12.7694,-0.1590805,0.9872656,0.02241802,44.60696,38.20819,1
276,0.3598311,-394,PedestrianHead,20.90115,12.78942,-0.1682983,0.9733818,0.02241802,44.60696,38.20819,1
277,0.3785613,-192,Pedestrian,20.88056,12.79196,-0.1843699,0.9828569,0.02970016,33.66985,34.69559,1
277,0.3785613,-394,PedestrianHead,20.89662,12.81419,-0.2077642,0.965031,0.02970016,33.66985,34.69559,1
278,0.4045961,-192,Pedestrian,20.87751,12.80683,-0.2009657,0.9795983,0.01873026,53.38953,45.71712,1
278,0.4045961,-394,PedestrianHead,20.89207,12.82989,-0.2384226,0.9575264,0.01873026,53.38953,45.71712,1
279,0.4205916,-192,Pedestrian,20.87245,12.8287,-0.2252887,0.974292,0.02603485,38.41006,41.95586,1
279,0.4205916,-394,PedestrianHead,20.885,12.85182,-0.2722014,0.9486223,0.02603485,38.41006,41.95586,1
280,0.4378564,-192,Pedestrian,20.86901,12.84259,-0.240667,0.9706078,0.01599563,62.51709,53.45947,1
280,0.4378564,-394,PedestrianHead,20.87824,12.86448,-0.2976939,0.9413577,0.01599563,62.51709,53.45947,1
281,0.458544,-192,Pedestrian,20.86487,12.85808,-0.2577771,0.9662044,0.01726479,57.92134,55.39781,1
