unix_ms,frame,rel_timestamp,event,overlap_counter
1758754694298,1655,0,Start,0
1758754700191,1867,5.894394,Overlap,1
1758754701436,1910,7.141975,Overlap,2
1758754702660,1953,8.366096,Overlap,3
1758754703886,1997,9.591217,Overlap,4
1758754705911,2070,11.61458,End,4
