unix_sec,unix_ms,rel_sec,rel_ms,TP9,TP10,AF7,AF8
1758146960.702,1758146960702,0.004999876022338867,5,810.696,792.1612,892.0879,800.6227
1758146960.702,1758146960702,0.004999876022338867,5,913.8461,884.43225,959.3773,806.6667
1758146960.703,1758146960703,0.006000041961669922,6,813.91943,827.619,759.92676,805.4579
1758146960.704,1758146960704,0.006999969482421875,7,705.5311,732.52747,737.3626,801.8315
1758146960.704,1758146960704,0.006999969482421875,7,785.7143,774.0293,926.337,801.8315
1758146960.704,1758146960704,0.006999969482421875,7,908.60803,871.53845,965.42126,806.26373
1758146960.705,1758146960705,0.007999897003173828,8,847.3626,856.2271,762.74725,809.4872
1758146960.705,1758146960705,0.007999897003173828,8,710.3663,754.2857,599.15753,802.23444
1758146960.706,1758146960706,0.009000062942504883,9,739.3773,746.2271,813.1135,796.1905
1758146960.707,1758146960707,0.009999990463256836,10,879.59705,845.7509,883.6264,801.4286
1758146960.707,1758146960707,0.009999990463256836,10,881.2088,876.3736,801.8315,807.47253
1758146960.707,1758146960707,0.009999990463256836,10,743.4066,777.6557,701.9048,804.65204
1758146960.739,1758146960739,0.04200005531311035,42,711.1722,730.9158,744.61536,799.011
1758146960.739,1758146960739,0.04200005531311035,42,836.8865,825.2015,911.4286,804.2491
1758146960.74,1758146960740,0.042999982833862305,43,896.1172,888.0586,892.8938,811.0989
1758146960.74,1758146960740,0.042999982833862305,43,774.83514,803.44324,674.90845,808.68134
1758146960.74,1758146960740,0.042999982833862305,43,691.4286,722.4542,724.4689,803.0403
1758146960.741,1758146960741,0.04399991035461426,44,794.17584,786.9231,958.97437,802.23444
1758146960.741,1758146960741,0.04399991035461426,44,899.34064,877.98535,902.5641,808.2784
1758146960.741,1758146960741,0.04399991035461426,44,802.23444,825.6044,737.76556,804.65204
1758146960.741,1758146960741,0.04399991035461426,44,680.54944,734.1392,672.0879,793.7729
1758146960.742,1758146960742,0.04500007629394531,45,747.8388,760.7326,774.83514,792.96704
1758146960.742,1758146960742,0.04500007629394531,45,886.04395,857.03296,915.4579,799.011
1758146960.742,1758146960742,0.04500007629394531,45,851.39197,853.00366,813.5165,803.0403
1758146960.766,1758146960766,0.0690000057220459,69,712.381,750.65936,690.6227,801.4286
1758146960.767,1758146960767,0.06999993324279785,70,725.6777,736.55676,757.1062,798.20514
1758146960.767,1758146960767,0.06999993324279785,70,869.12085,837.6923,911.4286,803.44324
1758146960.767,1758146960767,0.06999993324279785,70,885.64105,879.19415,830.84247,809.4872
1758146960.768,1758146960768,0.0709998607635498,71,753.47986,786.1172,726.08057,806.26373
1758146960.768,1758146960768,0.0709998607635498,71,709.5604,728.0952,829.2308,799.011
1758146960.768,1758146960768,0.0709998607635498,71,827.619,805.8608,883.22345,796.5934
1758146960.769,1758146960769,0.07200002670288086,72,904.17584,881.6117,878.7912,801.8315
1758146960.769,1758146960769,0.07200002670288086,72,787.326,806.6667,771.6117,802.23444
1758146960.769,1758146960769,0.07200002670288086,72,687.3993,717.619,643.47986,793.7729
1758146960.771,1758146960771,0.07399988174438477,74,784.90845,781.28204,875.56775,798.20514
1758146960.771,1758146960771,0.07399988174438477,74,900.14655,874.7619,956.9597,804.2491
1758146960.792,1758146960792,0.09500002861022949,95,816.337,831.6484,724.4689,802.6374
1758146960.793,1758146960793,0.09599995613098145,96,694.2491,738.97437,687.8022,799.41394
1758146960.793,1758146960793,0.09599995613098145,96,751.06226,755.89746,827.619,799.81683
1758146960.794,1758146960794,0.0969998836517334,97,887.6557,853.8095,887.25275,808.2784
1758146960.794,1758146960794,0.0969998836517334,97,859.45056,862.674,805.8608,813.1135
1758146960.794,1758146960794,0.0969998836517334,97,721.6484,766.77655,759.12085,808.2784
1758146960.795,1758146960795,0.09800004959106445,98,718.8278,737.76556,780.07324,804.2491
1758146960.795,1758146960795,0.09800004959106445,98,850.18317,827.619,862.674,808.2784
1758146960.795,1758146960795,0.09800004959106445,98,884.0293,878.7912,850.58606,811.50183
1758146960.796,1758146960796,0.0989999771118164,99,750.2564,790.9524,725.6777,805.4579
1758146960.796,1758146960796,0.0989999771118164,99,695.4579,726.4835,708.7546,799.41394
1758146960.796,1758146960796,0.0989999771118164,99,821.1722,799.011,849.3773,802.23444
1758146960.862,1758146960862,0.16499996185302734,165,913.8461,884.43225,926.7399,809.4872
1758146960.863,1758146960863,0.1659998893737793,166,805.05493,822.381,745.42126,809.89014
1758146960.863,1758146960863,0.1659998893737793,166,706.7399,732.1245,712.381,806.26373
1758146960.863,1758146960863,0.1659998893737793,166,790.9524,774.83514,823.1868,801.8315
1758146960.864,1758146960864,0.16700005531311035,167,906.5934,866.7033,919.0842,804.2491
1758146960.864,1758146960864,0.16700005531311035,167,840.5128,838.0952,864.68866,805.8608
1758146960.864,1758146960864,0.16700005531311035,167,712.7839,739.3773,693.44324,800.6227
1758146960.865,1758146960865,0.1679999828338623,168,753.0769,740.58606,789.34064,795.78754
1758146960.865,1758146960865,0.1679999828338623,168,884.0293,839.707,934.7985,797.3993
1758146960.865,1758146960865,0.1679999828338623,168,873.1502,863.8828,779.67035,802.23444
1758146960.866,1758146960866,0.16899991035461426,169,736.55676,762.3443,653.95605,799.41394
1758146960.866,1758146960866,0.16899991035461426,169,722.0513,722.0513,724.87177,795.38464
1758146960.89,1758146960890,0.19300007820129395,193,852.1978,810.696,911.4286,797.8022
1758146960.89,1758146960890,0.19300007820129395,193,896.1172,873.5531,920.696,805.05493
1758146960.891,1758146960891,0.1940000057220459,194,766.3736,795.78754,729.304,807.0696
1758146960.891,1758146960891,0.1940000057220459,194,692.6374,727.28937,688.60803,804.65204
1758146960.891,1758146960891,0.1940000057220459,194,803.44324,794.57874,891.28204,804.2491
1758146960.892,1758146960892,0.19499993324279785,195,904.17584,877.98535,1003.2967,805.05493
1758146960.892,1758146960892,0.19499993324279785,195,805.05493,823.1868,790.9524,806.6667
1758146960.892,1758146960892,0.19499993324279785,195,688.20514,728.0952,591.50183,802.6374
1758146960.893,1758146960893,0.1959998607635498,196,765.56775,762.3443,771.2088,799.81683
1758146960.893,1758146960893,0.1959998607635498,196,892.8938,863.8828,937.619,808.68134
1758146960.893,1758146960893,0.1959998607635498,196,836.4835,845.34796,766.77655,811.0989
1758146960.894,1758146960894,0.19700002670288086,197,703.91943,743.00366,653.1502,803.0403
1758146960.949,1758146960949,0.2519998550415039,252,732.1245,742.1978,799.011,799.011
1758146960.95,1758146960950,0.25300002098083496,253,868.71796,840.10986,920.696,803.0403
1758146960.95,1758146960950,0.25300002098083496,253,880.0,868.71796,867.50916,804.65204
1758146960.951,1758146960951,0.2539999485015869,254,742.6007,770.80585,710.3663,797.8022
1758146960.951,1758146960951,0.2539999485015869,254,705.9341,720.4396,738.5714,793.36993
1758146960.951,1758146960951,0.2539999485015869,254,842.1245,809.0842,999.2674,799.81683
1758146960.952,1758146960952,0.25499987602233887,255,909.81683,876.77655,947.6923,803.8461
1758146960.952,1758146960952,0.25499987602233887,255,776.4469,791.3553,623.73627,795.38464
1758146960.952,1758146960952,0.25499987602233887,255,693.8461,716.4103,732.1245,793.7729
1758146960.953,1758146960953,0.2560000419616699,256,799.011,785.31134,861.8681,798.60803
1758146960.953,1758146960953,0.2560000419616699,256,904.17584,875.16486,862.27106,800.6227
1758146960.953,1758146960953,0.2560000419616699,256,813.91943,820.3663,742.6007,799.81683
1758146961.018,1758146961018,0.3209998607635498,321,695.8608,724.0659,695.05493,794.9817
1758146961.018,1758146961018,0.3209998607635498,321,768.7912,757.9121,849.7802,794.57874
1758146961.02,1758146961020,0.3229999542236328,323,900.9524,855.42126,944.87177,799.41394
1758146961.02,1758146961020,0.3229999542236328,323,860.65936,852.6007,813.1135,802.23444
1758146961.021,1758146961021,0.32399988174438477,324,726.4835,748.24176,676.1172,799.011
1758146961.021,1758146961021,0.32399988174438477,324,736.9597,729.707,832.8571,794.9817
1758146961.021,1758146961021,0.32399988174438477,324,872.3443,829.6337,931.1722,799.41394
1758146961.022,1758146961022,0.3250000476837158,325,893.69965,871.53845,775.2381,805.05493
1758146961.022,1758146961022,0.3250000476837158,325,752.674,775.64105,671.685,797.8022
1758146961.022,1758146961022,0.3250000476837158,325,695.05493,718.8278,724.87177,794.57874
1758146961.022,1758146961022,0.3250000476837158,325,815.9341,801.4286,870.7326,802.6374
1758146961.023,1758146961023,0.3259999752044678,326,897.72894,876.3736,896.1172,809.89014
1758146961.025,1758146961025,0.3280000686645508,328,782.8938,803.0403,786.9231,808.68134
1758146961.025,1758146961025,0.3280000686645508,328,684.17584,714.7985,733.3333,803.0403
1758146961.026,1758146961026,0.32899999618530273,329,777.6557,769.19415,814.3223,803.8461
1758146961.026,1758146961026,0.32899999618530273,329,894.10254,863.0769,880.40295,809.89014
1758146961.026,1758146961026,0.32899999618530273,329,811.50183,818.7546,796.5934,805.8608
1758146961.027,1758146961027,0.3299999237060547,330,685.78754,724.4689,756.7033,801.4286
1758146961.027,1758146961027,0.3299999237060547,330,739.7802,748.6447,844.1392,803.0403
1758146961.027,1758146961027,0.3299999237060547,330,870.7326,848.97437,931.978,809.0842
1758146961.028,1758146961028,0.33100008964538574,331,850.18317,855.82416,812.3077,811.0989
1758146961.028,1758146961028,0.33100008964538574,331,714.7985,754.68866,607.619,803.0403
1758146961.028,1758146961028,0.33100008964538574,331,707.5458,722.4542,715.2015,797.3993
1758146961.029,1758146961029,0.3320000171661377,332,843.73627,818.7546,911.4286,798.20514
1758146961.082,1758146961082,0.38499999046325684,385,889.67035,873.1502,863.8828,805.8608
1758146961.083,1758146961083,0.3859999179840088,386,766.3736,788.5348,717.619,805.8608
1758146961.083,1758146961083,0.3859999179840088,386,703.1135,730.5128,715.2015,796.99634
1758146961.084,1758146961084,0.38700008392333984,387,817.5458,804.65204,840.9158,800.2198
1758146961.085,1758146961085,0.3880000114440918,388,917.0696,883.6264,974.2857,809.89014
1758146961.085,1758146961085,0.3880000114440918,388,807.8755,816.7399,779.67035,804.65204
1758146961.086,1758146961086,0.38899993896484375,389,695.05493,724.4689,645.09155,799.011
1758146961.086,1758146961086,0.38899993896484375,389,782.49084,770.0,772.01465,801.4286
1758146961.086,1758146961086,0.38899993896484375,389,905.78754,865.4945,884.0293,805.8608
1758146961.087,1758146961087,0.3899998664855957,390,844.1392,835.6777,775.2381,804.2491
1758146961.087,1758146961087,0.3899998664855957,390,715.6044,732.9304,657.98535,797.8022
1758146961.087,1758146961087,0.3899998664855957,390,762.3443,746.2271,803.8461,801.8315
1758146961.116,1758146961116,0.41899991035461426,419,911.02563,857.03296,961.79486,807.8755
1758146961.116,1758146961116,0.41899991035461426,419,898.5348,878.3883,861.06226,808.68134
1758146961.117,1758146961117,0.4200000762939453,420,743.8095,780.87915,690.2198,802.6374
1758146961.117,1758146961117,0.4200000762939453,420,703.5165,739.3773,696.26373,799.41394
1758146961.117,1758146961117,0.4200000762939453,420,829.6337,833.2601,932.381,807.0696
1758146961.118,1758146961118,0.42100000381469727,421,891.28204,903.36993,992.4176,816.7399
1758146961.118,1758146961118,0.42100000381469727,421,760.32965,813.1135,698.68134,814.7253
1758146961.118,1758146961118,0.42100000381469727,421,683.7729,729.707,630.18317,805.05493
1758146961.119,1758146961119,0.4219999313354492,422,804.65204,796.99634,855.42126,801.8315
1758146961.119,1758146961119,0.4219999313354492,422,907.3993,877.1795,877.1795,801.02563
1758146961.12,1758146961120,0.42299985885620117,423,803.44324,814.3223,737.76556,799.41394
1758146961.12,1758146961120,0.42299985885620117,423,687.3993,714.7985,676.52014,790.9524
1758146961.176,1758146961176,0.4790000915527344,479,763.5531,753.0769,851.39197,785.31134
1758146961.177,1758146961177,0.48000001907348633,480,890.87915,855.0183,968.6447,792.5641
1758146961.177,1758146961177,0.48000001907348633,480,842.9304,840.5128,811.0989,795.38464
1758146961.177,1758146961177,0.48000001907348633,480,705.9341,738.5714,677.326,790.9524
1758146961.178,1758146961178,0.4809999465942383,481,730.9158,736.1539,838.9011,791.3553
1758146961.178,1758146961178,0.4809999465942383,481,875.9707,838.9011,996.8498,795.38464
1758146961.179,1758146961179,0.48199987411499023,482,879.19415,865.89746,880.0,801.8315
1758146961.18,1758146961180,0.4830000400543213,483,735.7509,766.3736,647.1062,798.20514
1758146961.18,1758146961180,0.4830000400543213,483,697.0696,714.3956,695.4579,792.5641
1758146961.18,1758146961180,0.4830000400543213,483,828.8278,808.2784,899.34064,798.60803
1758146961.181,1758146961181,0.48399996757507324,484,900.9524,877.5824,924.7253,801.02563
1758146961.181,1758146961181,0.48399996757507324,484,774.43225,794.17584,731.31866,798.20514
1758146961.217,1758146961217,0.5199999809265137,520,680.9524,712.381,639.0476,790.54944
1758146961.218,1758146961218,0.5209999084472656,521,785.7143,773.22345,895.7143,790.54944
1758146961.219,1758146961219,0.5220000743865967,522,901.75824,864.68866,984.35895,801.4286
1758146961.219,1758146961219,0.5220000743865967,522,810.293,818.3516,727.28937,800.2198
1758146961.22,1758146961220,0.5230000019073486,523,685.38464,723.2601,666.8498,793.36993
1758146961.22,1758146961220,0.5230000019073486,523,754.68866,754.68866,931.5751,793.36993
1758146961.221,1758146961221,0.5239999294281006,524,898.1319,857.03296,959.7802,801.8315
1758146961.221,1758146961221,0.5239999294281006,524,861.4652,850.989,745.0183,805.05493
1758146961.222,1758146961222,0.5249998569488525,525,720.84247,749.85345,707.5458,800.6227
1758146961.222,1758146961222,0.5249998569488525,525,728.9011,731.7216,731.7216,797.3993
1758146961.223,1758146961223,0.5260000228881836,526,863.8828,830.0366,872.74725,798.20514
1758146961.223,1758146961223,0.5260000228881836,526,893.69965,879.19415,872.3443,802.23444
1758146961.266,1758146961266,0.5690000057220459,569,758.315,784.10254,716.8132,799.81683
1758146961.266,1758146961266,0.5690000057220459,569,695.4579,717.2161,726.4835,790.9524
1758146961.267,1758146961267,0.5699999332427979,570,819.5604,799.81683,938.8278,792.5641
1758146961.267,1758146961267,0.5699999332427979,570,909.81683,884.43225,909.81683,800.6227
1758146961.268,1758146961268,0.5709998607635498,571,788.5348,813.91943,686.5934,800.2198
1758146961.268,1758146961268,0.5709998607635498,571,686.5934,726.8865,743.4066,796.1905
1758146961.268,1758146961268,0.5709998607635498,571,788.5348,786.1172,901.3553,802.23444
1758146961.268,1758146961268,0.5709998607635498,571,902.5641,880.80585,862.27106,809.4872
1758146961.27,1758146961270,0.5729999542236328,573,820.3663,838.0952,732.52747,807.0696
1758146961.27,1758146961270,0.5729999542236328,573,695.05493,737.76556,695.05493,799.41394
1758146961.271,1758146961271,0.5739998817443848,574,742.6007,752.674,812.3077,797.8022
1758146961.271,1758146961271,0.5739998817443848,574,869.92676,852.6007,867.50916,803.8461
1758146961.322,1758146961322,0.625,625,848.5714,859.0476,805.8608,804.2491
1758146961.323,1758146961323,0.625999927520752,626,715.2015,758.315,718.022,799.41394
1758146961.323,1758146961323,0.625999927520752,626,707.9487,731.31866,760.7326,796.5934
1758146961.323,1758146961323,0.625999927520752,626,839.304,823.9927,904.17584,796.99634
1758146961.324,1758146961324,0.6269998550415039,627,886.04395,880.0,905.78754,805.05493
1758146961.324,1758146961324,0.6269998550415039,627,759.5238,792.96704,783.2967,806.6667
1758146961.324,1758146961324,0.6269998550415039,627,687.3993,717.2161,734.94507,798.20514
1758146961.325,1758146961325,0.628000020980835,628,803.0403,789.34064,845.34796,798.60803
1758146961.325,1758146961325,0.628000020980835,628,900.9524,875.56775,881.6117,803.0403
1758146961.325,1758146961325,0.628000020980835,628,793.36993,812.71063,673.69965,803.44324
1758146961.326,1758146961326,0.6289999485015869,629,691.02563,724.87177,659.59705,799.81683
1758146961.326,1758146961326,0.6289999485015869,629,769.59705,768.3883,834.87177,796.99634
1758146961.393,1758146961393,0.6959998607635498,696,890.4762,867.50916,943.2601,799.41394
1758146961.394,1758146961394,0.6970000267028809,697,834.4689,843.73627,773.6264,804.65204
1758146961.395,1758146961395,0.6979999542236328,698,703.5165,741.79486,643.47986,803.44324
1758146961.395,1758146961395,0.6979999542236328,698,736.9597,743.00366,750.65936,799.81683
1758146961.396,1758146961396,0.6989998817443848,699,876.77655,846.9597,959.7802,805.4579
1758146961.396,1758146961396,0.6989998817443848,699,876.3736,874.35895,931.978,811.9048
1758146961.397,1758146961397,0.7000000476837158,700,738.5714,775.64105,701.9048,807.8755
1758146961.397,1758146961397,0.7000000476837158,700,715.2015,731.7216,667.6557,800.6227
1758146961.398,1758146961398,0.7009999752044678,701,845.34796,822.381,876.3736,799.81683
1758146961.398,1758146961398,0.7009999752044678,701,906.5934,888.86444,925.5311,806.26373
1758146961.401,1758146961401,0.7039999961853027,704,778.86444,802.23444,688.20514,806.6667
1758146961.401,1758146961401,0.7039999961853027,704,697.47253,722.8571,704.3223,801.8315
1758146961.442,1758146961442,0.744999885559082,745,811.9048,788.5348,877.1795,801.8315
1758146961.442,1758146961442,0.744999885559082,745,916.6667,880.80585,909.011,805.4579
1758146961.443,1758146961443,0.7460000514984131,746,817.1429,827.2161,731.7216,803.44324
1758146961.443,1758146961443,0.7460000514984131,746,702.71063,734.94507,645.89746,803.44324
1758146961.444,1758146961444,0.746999979019165,747,774.0293,773.22345,883.22345,805.8608
1758146961.444,1758146961444,0.746999979019165,747,902.96704,877.1795,1050.0366,810.293
1758146961.444,1758146961444,0.746999979019165,747,852.1978,865.89746,776.8498,812.3077
1758146961.444,1758146961444,0.746999979019165,747,710.7692,759.92676,592.3077,803.44324
1758146961.445,1758146961445,0.747999906539917,748,730.5128,750.65936,801.02563,799.81683
1758146961.445,1758146961445,0.747999906539917,748,870.7326,848.5714,888.0586,803.0403
