unix_ms,frame,rel_timestamp,event,overlap_counter
1758146961975,1,0,Start,0
1758146968549,4228,6.542058,Overlap,1
1758146970750,5913,8.74377,Overlap,2
1758146972952,7602,10.94546,Overlap,3
1758146975155,9219,13.14807,Overlap,4
1758146979155,12277,17.14836,End,4
